Customer ID,Customer Name,Segment,Age,Country,City,State,Postal Code,Region
CG-12520,Claire Gute,Consumer,67,United States,Henderson,Kentucky,42420,South
DV-13045,Darrin Van Huff,Corporate,31,United States,Los Angeles,California,90036,West
SO-20335,Sean O'Donnell,Consumer,65,United States,Fort Lauderdale,Florida,33311,South
BH-11710,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West
AA-10480,Andrew Allen,Consumer,50,United States,Concord,North Carolina,28027,South
IM-15070,Irene Maddox,Consumer,66,United States,Seattle,Washington,98103,West
HP-14815,Harold Pawlan,Home Office,20,United States,Fort Worth,Texas,76106,Central
PK-19075,Pete Kriz,Consumer,46,United States,Madison,Wisconsin,53711,Central
AG-10270,Alejandro Grove,Consumer,18,United States,West Jordan,Utah,84084,West
ZD-21925,Zuschuss Donatelli,Consumer,66,United States,San Francisco,California,94109,West
KB-16585,Ken Black,Corporate,67,United States,Fremont,Nebraska,68025,Central
SF-20065,Sandra Flanagan,Consumer,41,United States,Philadelphia,Pennsylvania,19140,East
EB-13870,Emily Burns,Consumer,34,United States,Orem,Utah,84057,West
EH-13945,Eric Hoffmann,Consumer,21,United States,Los Angeles,California,90049,West
TB-21520,Tracy Blumstein,Consumer,48,United States,Philadelphia,Pennsylvania,19140,East
MA-17560,Matt Abelman,Home Office,19,United States,Houston,Texas,77095,Central
GH-14485,Gene Hale,Corporate,28,United States,Richardson,Texas,75080,Central
SN-20710,Steve Nguyen,Home Office,46,United States,Houston,Texas,77041,Central
LC-16930,Linda Cazamias,Corporate,31,United States,Naperville,Illinois,60540,Central
RA-19885,Ruben Ausman,Corporate,51,United States,Los Angeles,California,90049,West
ES-14080,Erin Smith,Corporate,20,United States,Melbourne,Florida,32935,South
ON-18715,Odella Nelson,Corporate,27,United States,Eagan,Minnesota,55122,Central
PO-18865,Patrick O'Donnell,Consumer,64,United States,Westland,Michigan,48185,Central
LH-16900,Lena Hernandez,Consumer,66,United States,Dover,Delaware,19901,East
DP-13000,Darren Powers,Consumer,40,United States,New Albany,Indiana,47150,Central
JM-15265,Janet Molinari,Corporate,23,United States,New York City,New York,10024,East
TB-21055,Ted Butterfield,Consumer,34,United States,Troy,New York,12180,East
KM-16720,Kunst Miller,Consumer,69,United States,Los Angeles,California,90004,West
