date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
1/1/2015,Quarter1,sweing,Thursday,8,0.8,26.16,1108,7080,98,0,0,0,59,0.940725424
1/1/2015,Quarter1,finishing ,Thursday,1,0.75,3.94,,960,0,0,0,0,8,0.8865
1/1/2015,Quarter1,sweing,Thursday,11,0.8,11.41,968,3660,50,0,0,0,30.5,0.800570492
1/1/2015,Quarter1,sweing,Thursday,12,0.8,11.41,968,3660,50,0,0,0,30.5,0.800570492
1/1/2015,Quarter1,sweing,Thursday,6,0.8,25.9,1170,1920,50,0,0,0,56,0.800381944
1/1/2015,Quarter1,sweing,Thursday,7,0.8,25.9,984,6720,38,0,0,0,56,0.800125
1/1/2015,Quarter1,finishing ,Thursday,2,0.75,3.94,,960,0,0,0,0,8,0.755166667
1/1/2015,Quarter1,sweing,Thursday,3,0.75,28.08,795,6900,45,0,0,0,57.5,0.753683478
1/1/2015,Quarter1,sweing,Thursday,2,0.75,19.87,733,6000,34,0,0,0,55,0.753097531
1/1/2015,Quarter1,sweing,Thursday,1,0.75,28.08,681,6900,45,0,0,0,57.5,0.750427826
1/1/2015,Quarter1,sweing,Thursday,9,0.7,28.08,872,6900,44,0,0,0,57.5,0.721126957
1/1/2015,Quarter1,sweing,Thursday,10,0.75,19.31,578,6480,45,0,0,0,54,0.712205247
1/1/2015,Quarter1,sweing,Thursday,5,0.8,11.41,668,3660,50,0,0,0,30.5,0.707045902
1/1/2015,Quarter1,finishing ,Thursday,10,0.65,3.94,,960,0,0,0,0,8,0.705916667
1/1/2015,Quarter1,finishing ,Thursday,8,0.75,2.9,,960,0,0,0,0,8,0.676666667
1/1/2015,Quarter1,finishing ,Thursday,4,0.75,3.94,,2160,0,0,0,0,18,0.593055556
1/1/2015,Quarter1,finishing ,Thursday,7,0.8,2.9,,960,0,0,0,0,8,0.540729167
1/1/2015,Quarter1,sweing,Thursday,4,0.65,23.69,861,7200,0,0,0,0,60,0.52118
1/1/2015,Quarter1,finishing,Thursday,11,0.7,4.15,,1440,0,0,0,0,12,0.436326389
1/3/2015,Quarter1,finishing ,Saturday,4,0.8,4.15,,6600,0,0,0,0,20,0.988024691
1/3/2015,Quarter1,finishing ,Saturday,11,0.75,2.9,,5640,0,0,0,0,17,0.987880435
1/3/2015,Quarter1,finishing ,Saturday,9,0.8,4.15,,960,0,0,0,0,8,0.956270833
1/3/2015,Quarter1,finishing ,Saturday,3,0.75,3.94,,1560,0,0,0,0,8,0.945277778
1/3/2015,Quarter1,finishing ,Saturday,1,0.8,3.94,,960,0,0,0,0,8,0.902916667
1/3/2015,Quarter1,sweing,Saturday,1,0.8,28.08,772,6300,50,0,0,0,56.5,0.800725314
1/3/2015,Quarter1,sweing,Saturday,3,0.8,28.08,913,6540,50,0,0,0,54.5,0.800322936
1/3/2015,Quarter1,sweing,Saturday,8,0.8,26.16,1261,7080,50,0,0,0,59,0.800318644
1/3/2015,Quarter1,sweing,Saturday,12,0.8,26.16,844,7080,63,0,0,0,59,0.800318644
1/3/2015,Quarter1,sweing,Saturday,11,0.8,11.61,1005,7080,50,0,0,0,29.5,0.800237288
1/3/2015,Quarter1,sweing,Saturday,5,0.8,11.61,659,7080,50,0,0,0,31.5,0.800148649
1/3/2015,Quarter1,sweing,Saturday,6,0.8,25.9,1152,6720,50,0,0,0,56,0.800125
1/3/2015,Quarter1,sweing,Saturday,7,0.8,25.9,1138,6720,38,0,0,0,56,0.800125
1/3/2015,Quarter1,sweing,Saturday,10,0.75,19.31,610,6480,56,0,0,0,54,0.787299691
1/3/2015,Quarter1,finishing ,Saturday,2,0.8,4.15,,960,0,0,0,0,8,0.782447917
1/3/2015,Quarter1,sweing,Saturday,2,0.75,19.87,944,6600,45,0,0,0,55,0.75024303
1/3/2015,Quarter1,finishing ,Saturday,10,0.7,4.15,,960,0,0,0,0,8,0.7018125
1/3/2015,Quarter1,sweing,Saturday,4,0.7,23.69,544,13800,0,0,0,0,60,0.700134038
1/3/2015,Quarter1,sweing,Saturday,9,0.7,28.08,1072,6900,40,0,0,0,57.5,0.699965217
1/3/2015,Quarter1,finishing ,Saturday,8,0.8,2.9,,960,0,0,0,0,8,0.628333333
1/3/2015,Quarter1,finishing ,Saturday,7,0.8,3.94,,960,0,0,0,0,8,0.6253125
1/4/2015,Quarter1,finishing ,Sunday,3,0.75,4.15,,1560,0,0,0,0,8,0.991388889
1/4/2015,Quarter1,finishing ,Sunday,9,0.8,3.94,,960,0,0,0,0,8,0.931645833
1/4/2015,Quarter1,finishing ,Sunday,1,0.8,3.94,,960,0,0,0,0,8,0.915229167
1/4/2015,Quarter1,sweing,Sunday,6,0.8,11.61,539,6975,50,0,0,0,31,0.879714482
1/4/2015,Quarter1,finishing ,Sunday,4,0.8,3.94,,6600,0,0,0,0,20,0.861679012
1/4/2015,Quarter1,sweing,Sunday,9,0.8,26.16,1278,7080,60,0,0,0,59,0.850569492
1/4/2015,Quarter1,sweing,Sunday,7,0.8,25.9,1227,7020,60,0,0,0,56.5,0.850436438
1/4/2015,Quarter1,sweing,Sunday,8,0.8,25.9,1039,6780,45,0,0,0,56.5,0.850345133
1/4/2015,Quarter1,sweing,Sunday,4,0.8,28.08,878,4260,50,0,0,0,55.5,0.800598058
1/4/2015,Quarter1,sweing,Sunday,1,0.8,26.16,1033,7080,63,0,0,0,59,0.800318644
1/4/2015,Quarter1,sweing,Sunday,2,0.8,28.08,782,6660,50,0,0,0,55.5,0.800237838
1/4/2015,Quarter1,sweing,Sunday,12,0.8,11.61,1216,6975,50,0,0,0,31,0.800030199
1/4/2015,Quarter1,finishing ,Sunday,2,0.8,3.94,,960,0,0,0,0,8,0.792104167
1/4/2015,Quarter1,finishing ,Sunday,10,0.7,3.94,,4320,0,0,0,0,18,0.759228395
1/4/2015,Quarter1,sweing,Sunday,11,0.75,19.31,513,6480,45,0,0,0,54,0.750348457
1/4/2015,Quarter1,sweing,Sunday,3,0.75,19.87,734,6600,45,0,0,0,55,0.75024303
1/4/2015,Quarter1,sweing,Sunday,10,0.7,28.08,1202,6900,40,0,0,0,57.5,0.699965217
1/4/2015,Quarter1,finishing ,Sunday,8,0.8,2.9,,960,0,0,0,0,8,0.682708333
1/4/2015,Quarter1,finishing ,Sunday,7,0.8,2.9,,960,0,0,0,0,8,0.667604167
1/4/2015,Quarter1,sweing,Sunday,5,0.7,45.67,884,6960,26,0,0,0,58,0.603432184
1/4/2015,Quarter1,finishing ,Sunday,11,0.75,4.15,,960,0,0,0,0,8,0.345833333
1/5/2015,Quarter1,finishing ,Monday,1,0.8,3.94,,1920,0,0,0,0,8,0.961059028
1/5/2015,Quarter1,finishing ,Monday,11,0.8,3.94,,2400,0,0,0,0,10,0.939513889
1/5/2015,Quarter1,finishing ,Monday,4,0.8,3.94,,3840,0,0,0,0,16,0.893663194
1/5/2015,Quarter1,finishing ,Monday,3,0.75,4.15,,1920,0,0,0,0,8,0.875390625
1/5/2015,Quarter1,sweing,Monday,9,0.8,26.16,1227,7080,75,0,0,0,59,0.850569492
1/5/2015,Quarter1,finishing ,Monday,9,0.8,2.9,,1920,0,0,0,0,8,0.820833333
1/5/2015,Quarter1,finishing ,Monday,2,0.8,3.94,,960,0,0,0,0,8,0.804416667
1/5/2015,Quarter1,sweing,Monday,7,0.8,25.9,1255,6780,50,0,0,0,56.5,0.800684366
1/5/2015,Quarter1,sweing,Monday,8,0.8,25.9,1047,6780,38,0,0,0,56.5,0.800684366
1/5/2015,Quarter1,sweing,Monday,1,0.8,26.16,1138,7080,63,0,0,0,59,0.800318644
1/5/2015,Quarter1,sweing,Monday,11,0.8,19.31,678,4800,50,0,0,0,55,0.800250962
1/5/2015,Quarter1,sweing,Monday,6,0.8,11.61,712,7200,50,0,0,0,32,0.800246011
1/5/2015,Quarter1,sweing,Monday,12,0.8,11.61,1037,7200,50,0,0,0,32,0.800246011
1/5/2015,Quarter1,sweing,Monday,2,0.8,28.08,757,6900,50,0,0,0,57.5,0.800076522
1/5/2015,Quarter1,sweing,Monday,4,0.8,28.08,759,6900,50,0,0,0,57.5,0.800076522
1/5/2015,Quarter1,finishing ,Monday,10,0.75,2.9,,960,0,0,0,0,8,0.763375
1/5/2015,Quarter1,finishing ,Monday,5,0.6,2.9,,960,0,0,0,0,8,0.759270833
1/5/2015,Quarter1,sweing,Monday,10,0.75,28.08,1083,7020,45,0,0,0,58.5,0.7504
1/5/2015,Quarter1,sweing,Monday,3,0.75,19.87,944,6600,45,0,0,0,55,0.75024303
1/5/2015,Quarter1,finishing ,Monday,7,0.8,3.94,,960,0,0,0,0,8,0.676666667
1/5/2015,Quarter1,finishing ,Monday,8,0.8,2.9,,960,0,0,0,0,8,0.664583333
